Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	5473.12   	40        	-100000   	0         	0         	
2         	5683.73   	40        	-100000   	0         	0         	
3         	5800.73   	40        	-100000   	0         	0         	
4.24255   	5874.38   	40        	-100000   	0         	0         	
6.02897   	5948.83   	40        	-100000   	0         	0         	
8.55372   	5993.84   	40        	-100000   	0         	0         	
11.9821   	6045.18   	40        	-100000   	0         	0         	
16.7227   	6084.83   	40        	-100000   	0         	0         	
23.3697   	6128.61   	40        	-100000   	0         	0         	
32.8191   	6138.92   	40        	-100000   	0         	0         	
46.215    	6140.28   	40        	-100000   	0         	0         	
65.7356   	6133.03   	40        	-100000   	0         	0         	
94.5475   	6125.31   	40        	-100000   	0         	0         	
134.825   	6124.59   	40        	-100000   	0         	0         	
186.078   	6144.92   	40        	-100000   	0         	0         	
245.268   	6195.73   	40        	-100000   	0         	0         	
305.268   	6263.2    	40        	-100000   	0         	0         	
365.268   	6337.91   	40        	-100000   	0         	0         	
425.268   	6416.31   	40        	-100000   	0         	0         	
485.268   	6496.69   	40        	-100000   	0         	0         	
545.268   	6577.4    	40        	-100000   	0         	0         	
605.268   	6657.78   	40        	-100000   	0         	0         	
665.268   	6734.22   	40        	-100000   	0         	0         	
725.268   	6784.17   	40        	-100000   	0         	0         	
785.268   	6794.34   	40        	-100000   	0         	0         	
845.268   	6759.04   	40        	-100000   	0         	0         	
905.268   	6682.48   	40        	-100000   	0         	0         	
965.268   	6570.75   	40        	-100000   	0         	0         	
1025.27   	6438.81   	40        	-100000   	0         	0         	
1085.27   	6302.92   	40        	-100000   	0         	0         	
1145.27   	6169.84   	40        	-100000   	0         	0         	
1205.27   	6041.71   	40        	-100000   	0         	0         	
1265.27   	5919.31   	40        	-100000   	0         	0         	
1325.27   	5803.15   	40        	-100000   	0         	0         	
1385.27   	5693.56   	40        	-100000   	0         	0         	
1445.27   	5590.64   	40        	-100000   	0         	0         	
1505.27   	5494.64   	40        	-100000   	0         	0         	
1565.27   	5405.42   	40        	-100000   	0         	0         	
1625.27   	5323.07   	40        	-100000   	0         	0         	
1685.27   	5246.89   	40        	-100000   	0         	0         	
1745.27   	5175.67   	40        	-100000   	0         	0         	
1805.27   	5108.95   	40        	-100000   	0         	0         	
1865.27   	5045.96   	40        	-100000   	0         	0         	
1925.27   	4986.22   	40        	-100000   	0         	0         	
1985.27   	4930.25   	40        	-100000   	0         	0         	
2045.27   	4877.7    	40        	-100000   	0         	0         	
2105.27   	4828.17   	40        	-100000   	0         	0         	
2165.27   	4780.36   	40        	-100000   	0         	0         	
2225.27   	4733.63   	40        	-100000   	0         	0         	
2285.27   	4688.62   	40        	-100000   	0         	0         	
2345.27   	4645.8    	40        	-100000   	0         	0         	
2405.27   	4605.19   	40        	-100000   	0         	0         	
2465.27   	4566.59   	40        	-100000   	0         	0         	
2525.27   	4529.98   	40        	-100000   	0         	0         	
2585.27   	4494.8    	40        	-100000   	0         	0         	
2645.27   	4461.26   	40        	-100000   	0         	0         	
2705.27   	4429.45   	40        	-100000   	0         	0         	
2765.27   	4399.1    	40        	-100000   	0         	0         	
2795.27   	4384.47   	40        	-100000   	0         	0         	
2825.27   	4370.26   	40        	-100000   	0         	0         	
2855.27   	4356.53   	40        	-100000   	0         	0         	
2885.27   	4343.24   	40        	-100000   	0         	0         	
2915.27   	4330.45   	40        	-100000   	0         	0         	
2945.27   	4318.22   	40        	-100000   	0         	0         	
2975.27   	4306.53   	40        	-100000   	0         	0         	
3035.27   	4284.26   	40        	-100000   	0         	0         	
3095.27   	4262.85   	40        	-100000   	0         	0         	
3155.27   	4241.86   	40        	-100000   	0         	0         	
3215.27   	4221.1    	40        	-100000   	0         	0         	
3275.27   	4200.19   	40        	-100000   	0         	0         	
3335.27   	4179.02   	40        	-100000   	0         	0         	
3395.27   	4157.51   	40        	-100000   	0         	0         	
3455.27   	4135.74   	40        	-100000   	0         	0         	
3515.27   	4113.74   	40        	-100000   	0         	0         	
3575.27   	4091.89   	40        	-100000   	0         	0         	
3635.27   	4070.08   	40        	-100000   	0         	0         	
3650      	4064.74   	40        	-100000   	0         	0         	
