Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	2895.32   	40        	25400     	20000     	0         	
2         	2773.86   	40        	25400     	20000     	0         	
3         	2690.53   	40        	25400     	20000     	0         	
4.24255   	2617.69   	40        	25400     	20000     	0         	
6.02897   	2544.64   	40        	25400     	20000     	0         	
8.55372   	2472.56   	40        	25400     	20000     	0         	
11.9821   	2403.76   	40        	25400     	20000     	0         	
16.7227   	2356.64   	40        	25239.5   	20000     	0         	
23.3697   	2304.8    	40        	24938.9   	20000     	0         	
32.8191   	2251.15   	40        	24628.5   	20000     	0         	
46.215    	2204.81   	40        	24772     	20000     	0         	
65.7356   	2193.08   	40        	24754.9   	20000     	0         	
94.5475   	2239.69   	40        	24605.3   	20000     	0         	
134.825   	2338.68   	40        	25140.4   	20000     	0         	
186.078   	2480.31   	40        	25400     	20000     	0         	
245.268   	2634.02   	40        	25400     	20000     	0         	
305.268   	2777.19   	40        	25400     	20000     	0         	
365.268   	2912.3    	40        	25400     	20000     	0         	
425.268   	3041.6    	40        	25400     	20000     	0         	
485.268   	3168.28   	40        	25400     	20000     	0         	
545.268   	3296.36   	40        	25400     	20000     	0         	
605.268   	3441.7    	40        	25400     	20000     	0         	
665.268   	3522.24   	40        	27970.2   	20000     	0         	
725.268   	3100.68   	40        	44141.4   	20000     	0         	
785.268   	2535.95   	40        	63620.2   	20000     	0         	
845.268   	2055.67   	40        	84838.5   	20000     	0         	
905.268   	1616.59   	40        	102891    	20000     	0         	
965.268   	1190.88   	40        	118638    	20000     	0         	
1025.27   	1000      	40        	126505    	19223.1   	0         	
1085.27   	1000      	40        	127849    	17980.2   	0         	
1145.27   	1000      	40        	128045    	16973.2   	0         	
1205.27   	1000      	40        	127584    	16104.8   	0         	
1265.27   	1000      	40        	126690    	15355.1   	0         	
1325.27   	1000      	40        	125345    	14731.6   	0         	
1385.27   	1000      	40        	123858    	14171.3   	0         	
1445.27   	1000      	40        	122346    	13630.9   	0         	
1505.27   	1000      	40        	120896    	13028.9   	0         	
1565.27   	1000      	40        	119307    	12548.8   	0         	
1625.27   	1000      	40        	117845    	12130.2   	0         	
1685.27   	1000      	40        	116864    	11777.3   	0         	
1745.27   	1000      	40        	115977    	11455.7   	0         	
1805.27   	1000      	40        	115179    	11156.7   	0         	
1865.27   	1000      	40        	114478    	10874.3   	0         	
1925.27   	1000      	40        	113839    	10608     	0         	
1985.27   	1000      	40        	112858    	10397.7   	0         	
2045.27   	1000      	40        	111966    	10195.6   	0         	
2105.27   	1000      	40        	111199    	9998.44   	0         	
2165.27   	1000      	40        	111398    	9723.42   	0         	
2225.27   	1000      	40        	111759    	9428.65   	0         	
2285.27   	1000      	40        	111620    	9182.98   	0         	
2345.27   	1000      	40        	111131    	8981.37   	0         	
2405.27   	1000      	40        	110781    	8788.96   	0         	
2465.27   	1000      	40        	110437    	8603.49   	0         	
2525.27   	1000      	40        	110487    	8407.18   	0         	
2585.27   	1000      	40        	110626    	8202.82   	0         	
2645.27   	1000      	40        	110846    	8004.02   	0         	
2705.27   	1000      	40        	110962    	7812.69   	0         	
2765.27   	1000      	40        	111387    	7615.61   	0         	
2795.27   	1000      	40        	111613    	7520.99   	0         	
2825.27   	1000      	40        	111851    	7429.31   	0         	
2855.27   	1000      	40        	112093    	7338.95   	0         	
2885.27   	1000      	40        	112341    	7250.64   	0         	
2915.27   	1000      	40        	112595    	7165.24   	0         	
2945.27   	1000      	40        	112854    	7083.38   	0         	
2975.27   	1000      	40        	113111    	7005.12   	0         	
3035.27   	1000      	40        	113621    	6859.28   	0         	
3095.27   	1000      	40        	114244    	6716.38   	0         	
3155.27   	1000      	40        	114882    	6576.28   	0         	
3215.27   	1000      	40        	115519    	6441.17   	0         	
3275.27   	1000      	40        	116157    	6310.44   	0         	
3335.27   	1000      	40        	116830    	6181.98   	0         	
3395.27   	1000      	40        	117443    	6055.88   	0         	
3455.27   	1000      	40        	117976    	5934.96   	0         	
3515.27   	1000      	40        	118304    	5827.42   	0         	
3575.27   	1000      	40        	118621    	5720.72   	0         	
3635.27   	1000      	40        	118929    	5612.26   	0         	
3650      	1000      	40        	119000    	5585.67   	0         	
