Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.1       	6258.17   	70        	0         	-5434.4   	
0.2       	6710.58   	70        	0         	-5434.41  	
0.3       	6649.62   	70        	0         	-5434.4   	
0.430407  	6520.27   	70        	0         	-5434.4   	
0.6019    	6467.92   	70        	0         	-5434.4   	
0.825171  	6357.84   	70        	0         	-5434.4   	
1.10952   	6299.94   	70        	0         	-5434.4   	
1.47104   	6278.99   	70        	0         	-5434.4   	
1.93078   	6269.66   	70        	0         	-5434.4   	
2.53487   	6264.23   	70        	0         	-5434.4   	
3.34129   	6268.03   	70        	0         	-5434.4   	
4.40038   	6275.93   	70        	0         	-5434.4   	
5.77509   	6306.46   	70        	0         	-5434.4   	
7.56582   	6345.67   	70        	0         	-5434.4   	
9.88653   	6374.67   	70        	0         	-5434.4   	
12.9066   	6396.26   	70        	0         	-5434.4   	
16.8205   	6419.73   	70        	0         	-5434.4   	
21.8193   	6443.12   	70        	0         	-5434.4   	
28.2398   	6468.82   	70        	0         	-5434.4   	
36.4613   	6482.62   	70        	0         	-5434.4   	
47.2034   	6494.66   	70        	0         	-5434.4   	
60.8945   	6507.52   	70        	0         	-5434.4   	
78.3025   	6523.66   	70        	0         	-5434.4   	
98.3025   	6528.92   	70        	0         	-5434.4   	
118.302   	6533.49   	70        	0         	-5434.4   	
138.302   	6533.54   	70        	0         	-5434.4   	
158.302   	6538.5    	70        	0         	-5434.4   	
178.302   	6543.26   	70        	0         	-5434.4   	
198.302   	6548.61   	70        	0         	-5434.4   	
218.302   	6553.6    	70        	0         	-5434.4   	
238.302   	6557.16   	70        	0         	-5434.4   	
258.302   	6559.79   	70        	0         	-5434.4   	
278.302   	6560.1    	70        	0         	-5434.4   	
298.302   	6561.09   	70        	0         	-5434.4   	
318.302   	6562.69   	70        	0         	-5434.4   	
338.302   	6564.1    	70        	0         	-5434.4   	
358.302   	6565.69   	70        	0         	-5434.4   	
378.302   	6567.25   	70        	0         	-5434.4   	
398.302   	6569.05   	70        	0         	-5434.4   	
418.302   	6571.61   	70        	0         	-5434.4   	
438.302   	6575.03   	70        	0         	-5434.4   	
458.302   	6578.97   	70        	0         	-5434.4   	
478.302   	6582.94   	70        	0         	-5434.4   	
498.302   	6586.27   	70        	0         	-5434.4   	
518.302   	6589.2    	70        	0         	-5434.4   	
538.302   	6591.92   	70        	0         	-5434.4   	
558.302   	6594.61   	70        	0         	-5434.4   	
578.302   	6597.35   	70        	0         	-5434.4   	
598.302   	6600.08   	70        	0         	-5434.4   	
618.302   	6603.15   	70        	0         	-5434.4   	
638.302   	6605.9    	70        	0         	-5434.4   	
658.302   	6608.21   	70        	0         	-5434.4   	
678.302   	6610.61   	70        	0         	-5434.4   	
698.302   	6613.13   	70        	0         	-5434.4   	
718.302   	6615.84   	70        	0         	-5434.4   	
738.302   	6618.72   	70        	0         	-5434.4   	
758.302   	6621.71   	70        	0         	-5434.4   	
778.302   	6624.59   	70        	0         	-5434.4   	
798.302   	6627.2    	70        	0         	-5434.4   	
818.302   	6629.85   	70        	0         	-5434.4   	
838.302   	6632.6    	70        	0         	-5434.4   	
858.302   	6635.17   	70        	0         	-5434.4   	
878.302   	6637.62   	70        	0         	-5434.4   	
898.302   	6640.06   	70        	0         	-5434.4   	
918.302   	6642.66   	70        	0         	-5434.4   	
938.302   	6645.45   	70        	0         	-5434.4   	
958.302   	6648.32   	70        	0         	-5434.4   	
978.302   	6651.21   	70        	0         	-5434.4   	
998.302   	6653.91   	70        	0         	-5434.4   	
1018.3    	6656.58   	70        	0         	-5434.4   	
1038.3    	6659.21   	70        	0         	-5434.4   	
1058.3    	6661.85   	70        	0         	-5434.4   	
1078.3    	6664.53   	70        	0         	-5434.4   	
1098.3    	6667.3    	70        	0         	-5434.4   	
1118.3    	6670.14   	70        	0         	-5434.4   	
1138.3    	6673.05   	70        	0         	-5434.4   	
1158.3    	6675.98   	70        	0         	-5434.4   	
1178.3    	6678.83   	70        	0         	-5434.4   	
1198.3    	6681.66   	70        	0         	-5434.4   	
1218.3    	6684.46   	70        	0         	-5434.4   	
1238.3    	6687.23   	70        	0         	-5434.4   	
1258.3    	6689.98   	70        	0         	-5434.4   	
1278.3    	6692.67   	70        	0         	-5434.4   	
1298.3    	6695.25   	70        	0         	-5434.4   	
1318.3    	6697.85   	70        	0         	-5434.4   	
1338.3    	6700.53   	70        	0         	-5434.4   	
1358.3    	6703.32   	70        	0         	-5434.4   	
1378.3    	6706.21   	70        	0         	-5434.4   	
1398.3    	6709.1    	70        	0         	-5434.4   	
1418.3    	6711.95   	70        	0         	-5434.4   	
1438.3    	6714.73   	70        	0         	-5434.4   	
1458.3    	6717.55   	70        	0         	-5434.4   	
1478.3    	6720.41   	70        	0         	-5434.4   	
1498.3    	6723.28   	70        	0         	-5434.4   	
1518.3    	6726.12   	70        	0         	-5434.4   	
1538.3    	6728.99   	70        	0         	-5434.4   	
1558.3    	6731.88   	70        	0         	-5434.4   	
1578.3    	6734.83   	70        	0         	-5434.4   	
1598.3    	6737.81   	70        	0         	-5434.4   	
1618.3    	6740.82   	70        	0         	-5434.4   	
1638.3    	6743.72   	70        	0         	-5434.4   	
1658.3    	6746.53   	70        	0         	-5434.4   	
1678.3    	6749.3    	70        	0         	-5434.4   	
1698.3    	6752.06   	70        	0         	-5434.4   	
1718.3    	6754.81   	70        	0         	-5434.4   	
1738.3    	6757.6    	70        	0         	-5434.4   	
1758.3    	6760.41   	70        	0         	-5434.4   	
1778.3    	6763.18   	70        	0         	-5434.4   	
1798.3    	6765.98   	70        	0         	-5434.4   	
1818.3    	6768.75   	70        	0         	-5434.4   	
1838.3    	6771.54   	70        	0         	-5434.4   	
1858.3    	6774.36   	70        	0         	-5434.4   	
1878.3    	6777.23   	70        	0         	-5434.4   	
1898.3    	6780.13   	70        	0         	-5434.4   	
1918.3    	6783.03   	70        	0         	-5434.4   	
1938.3    	6785.94   	70        	0         	-5434.4   	
1958.3    	6788.84   	70        	0         	-5434.4   	
1978.3    	6791.75   	70        	0         	-5434.4   	
1998.3    	6794.68   	70        	0         	-5434.4   	
2018.3    	6797.65   	70        	0         	-5434.4   	
2038.3    	6800.64   	70        	0         	-5434.4   	
2058.3    	6803.6    	70        	0         	-5434.4   	
2078.3    	6806.56   	70        	0         	-5434.4   	
2098.3    	6809.51   	70        	0         	-5434.4   	
2118.3    	6812.47   	70        	0         	-5434.4   	
2138.3    	6815.44   	70        	0         	-5434.4   	
2158.3    	6818.41   	70        	0         	-5434.4   	
2178.3    	6821.37   	70        	0         	-5434.4   	
2198.3    	6824.3    	70        	0         	-5434.4   	
2218.3    	6827.21   	70        	0         	-5434.4   	
2238.3    	6830.1    	70        	0         	-5434.4   	
2258.3    	6832.99   	70        	0         	-5434.4   	
2278.3    	6835.87   	70        	0         	-5434.4   	
2298.3    	6838.78   	70        	0         	-5434.4   	
2318.3    	6841.71   	70        	0         	-5434.4   	
2338.3    	6844.65   	70        	0         	-5434.4   	
2358.3    	6847.57   	70        	0         	-5434.4   	
2378.3    	6850.51   	70        	0         	-5434.4   	
2398.3    	6853.45   	70        	0         	-5434.4   	
2418.3    	6856.4    	70        	0         	-5434.4   	
2438.3    	6859.37   	70        	0         	-5434.4   	
2458.3    	6862.34   	70        	0         	-5434.4   	
2478.3    	6865.34   	70        	0         	-5434.4   	
2498.3    	6868.36   	70        	0         	-5434.4   	
2518.3    	6871.38   	70        	0         	-5434.4   	
2538.3    	6874.41   	70        	0         	-5434.4   	
2558.3    	6877.45   	70        	0         	-5434.4   	
2578.3    	6880.5    	70        	0         	-5434.4   	
2598.3    	6883.55   	70        	0         	-5434.4   	
2618.3    	6886.6    	70        	0         	-5434.4   	
2638.3    	6889.64   	70        	0         	-5434.4   	
2658.3    	6892.68   	70        	0         	-5434.4   	
2678.3    	6895.72   	70        	0         	-5434.4   	
2698.3    	6898.76   	70        	0         	-5434.4   	
2718.3    	6901.8    	70        	0         	-5434.4   	
2738.3    	6904.84   	70        	0         	-5434.4   	
2758.3    	6907.89   	70        	0         	-5434.4   	
2778.3    	6910.94   	70        	0         	-5434.4   	
2798.3    	6914      	70        	0         	-5434.4   	
2818.3    	6917.06   	70        	0         	-5434.4   	
2838.3    	6920.12   	70        	0         	-5434.4   	
2858.3    	6923.19   	70        	0         	-5434.4   	
2878.3    	6926.25   	70        	0         	-5434.4   	
2898.3    	6929.3    	70        	0         	-5434.4   	
2918.3    	6932.34   	70        	0         	-5434.4   	
2938.3    	6935.4    	70        	0         	-5434.4   	
2958.3    	6938.46   	70        	0         	-5434.4   	
2978.3    	6941.54   	70        	0         	-5434.4   	
2998.3    	6944.63   	70        	0         	-5434.4   	
3018.3    	6947.73   	70        	0         	-5434.4   	
3038.3    	6950.83   	70        	0         	-5434.4   	
3058.3    	6953.94   	70        	0         	-5434.4   	
3078.3    	6957.06   	70        	0         	-5434.4   	
3098.3    	6960.21   	70        	0         	-5434.4   	
3118.3    	6963.38   	70        	0         	-5434.4   	
3138.3    	6966.56   	70        	0         	-5434.4   	
3158.3    	6969.75   	70        	0         	-5434.4   	
3178.3    	6972.94   	70        	0         	-5434.4   	
3198.3    	6976.12   	70        	0         	-5434.4   	
3218.3    	6979.3    	70        	0         	-5434.4   	
3238.3    	6982.47   	70        	0         	-5434.4   	
3258.3    	6985.63   	70        	0         	-5434.4   	
3278.3    	6988.8    	70        	0         	-5434.4   	
3298.3    	6991.98   	70        	0         	-5434.4   	
3318.3    	6995.17   	70        	0         	-5434.4   	
3338.3    	6998.37   	70        	0         	-5434.4   	
3358.3    	7001.56   	70        	0         	-5434.4   	
3378.3    	7004.76   	70        	0         	-5434.4   	
3398.3    	7007.97   	70        	0         	-5434.4   	
3418.3    	7011.18   	70        	0         	-5434.4   	
3438.3    	7014.4    	70        	0         	-5434.4   	
3458.3    	7017.62   	70        	0         	-5434.4   	
3478.3    	7020.86   	70        	0         	-5434.4   	
3498.3    	7024.1    	70        	0         	-5434.4   	
3518.3    	7027.34   	70        	0         	-5434.4   	
3538.3    	7030.57   	70        	0         	-5434.4   	
3558.3    	7033.8    	70        	0         	-5434.4   	
3578.3    	7037.03   	70        	0         	-5434.4   	
3598.3    	7040.27   	70        	0         	-5434.4   	
3618.3    	7043.51   	70        	0         	-5434.4   	
3638.3    	7046.77   	70        	0         	-5434.4   	
3658.3    	7050.04   	70        	0         	-5434.4   	
3678.3    	7053.32   	70        	0         	-5434.4   	
3698.3    	7056.6    	70        	0         	-5434.4   	
3718.3    	7059.91   	70        	0         	-5434.4   	
3738.3    	7063.22   	70        	0         	-5434.4   	
3758.3    	7066.56   	70        	0         	-5434.4   	
3778.3    	7069.9    	70        	0         	-5434.4   	
3798.3    	7073.26   	70        	0         	-5434.4   	
3818.3    	7076.62   	70        	0         	-5434.4   	
3838.3    	7079.99   	70        	0         	-5434.4   	
3858.3    	7083.37   	70        	0         	-5434.4   	
3878.3    	7086.75   	70        	0         	-5434.4   	
3898.3    	7090.12   	70        	0         	-5434.4   	
3918.3    	7093.48   	70        	0         	-5434.4   	
3938.3    	7096.83   	70        	0         	-5434.4   	
3958.3    	7100.18   	70        	0         	-5434.4   	
3978.3    	7103.55   	70        	0         	-5434.4   	
3998.3    	7106.92   	70        	0         	-5434.4   	
4018.3    	7110.31   	70        	0         	-5434.4   	
4038.3    	7113.69   	70        	0         	-5434.4   	
4058.3    	7117.08   	70        	0         	-5434.4   	
4078.3    	7120.47   	70        	0         	-5434.4   	
4098.3    	7123.87   	70        	0         	-5434.4   	
4118.3    	7127.28   	70        	0         	-5434.4   	
4138.3    	7130.7    	70        	0         	-5434.4   	
4158.3    	7134.13   	70        	0         	-5434.4   	
4178.3    	7137.58   	70        	0         	-5434.4   	
4198.3    	7141.03   	70        	0         	-5434.4   	
4218.3    	7144.49   	70        	0         	-5434.4   	
4238.3    	7147.95   	70        	0         	-5434.4   	
4258.3    	7151.41   	70        	0         	-5434.4   	
4278.3    	7154.86   	70        	0         	-5434.4   	
4298.3    	7158.32   	70        	0         	-5434.4   	
4318.3    	7161.78   	70        	0         	-5434.4   	
4338.3    	7165.25   	70        	0         	-5434.4   	
4358.3    	7168.71   	70        	0         	-5434.4   	
4378.3    	7172.19   	70        	0         	-5434.4   	
4398.3    	7175.68   	70        	0         	-5434.4   	
4418.3    	7179.18   	70        	0         	-5434.4   	
4438.3    	7182.69   	70        	0         	-5434.4   	
4458.3    	7186.21   	70        	0         	-5434.4   	
4478.3    	7189.74   	70        	0         	-5434.4   	
4498.3    	7193.28   	70        	0         	-5434.4   	
4518.3    	7196.84   	70        	0         	-5434.4   	
4538.3    	7200.4    	70        	0         	-5434.4   	
4558.3    	7203.96   	70        	0         	-5434.4   	
