Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.1       	2716.26   	70        	5434      	2.16239   	
0.2       	2614.25   	70        	5434      	2.38717   	
0.3       	2565.25   	70        	5434      	2.42475   	
0.430407  	2526.31   	70        	5434      	2.40737   	
0.6019    	2492.07   	70        	5434      	2.36192   	
0.825171  	2460.64   	70        	5434      	2.30691   	
1.10952   	2431.36   	70        	5434      	2.25753   	
1.47104   	2403.51   	70        	5434      	2.22312   	
1.93078   	2376.63   	70        	5434      	2.2075    	
2.53487   	2349.77   	70        	5434      	2.20939   	
3.34129   	2322.62   	70        	5434      	2.22382   	
4.40038   	2295.62   	70        	5434      	2.24285   	
5.77509   	2269.04   	70        	5434      	2.25947   	
7.56582   	2242.77   	70        	5434      	2.2701    	
9.88653   	2217.01   	70        	5434      	2.27401   	
12.9066   	2191.99   	70        	5434      	2.27183   	
16.8205   	2168.44   	70        	5434      	2.26364   	
21.8193   	2147.54   	70        	5434      	2.2479    	
28.2398   	2130.16   	70        	5434      	2.22121   	
36.4613   	2117.11   	70        	5434      	2.17995   	
47.2034   	2108.55   	70        	5434      	2.12084   	
60.8945   	2104.32   	70        	5434      	2.04585   	
78.3025   	2103.52   	70        	5434      	1.95829   	
98.3025   	2104.98   	70        	5434      	1.86998   	
118.302   	2107.35   	70        	5434      	1.79283   	
138.302   	2110.07   	70        	5434      	1.72481   	
158.302   	2112.92   	70        	5434      	1.6641    	
178.302   	2115.82   	70        	5434      	1.60913   	
198.302   	2118.75   	70        	5434      	1.55875   	
218.302   	2121.7    	70        	5434      	1.5121    	
238.302   	2124.65   	70        	5434      	1.46851   	
258.302   	2127.61   	70        	5434      	1.42749   	
278.302   	2130.59   	70        	5434      	1.38864   	
298.302   	2133.58   	70        	5434      	1.35167   	
318.302   	2136.56   	70        	5434      	1.3164    	
338.302   	2139.53   	70        	5434      	1.28263   	
358.302   	2142.49   	70        	5434      	1.2502    	
378.302   	2145.46   	70        	5434      	1.21893   	
398.302   	2148.42   	70        	5434      	1.18873   	
418.302   	2151.38   	70        	5434      	1.1595    	
438.302   	2154.32   	70        	5434      	1.13121   	
458.302   	2157.24   	70        	5434      	1.10378   	
478.302   	2160.15   	70        	5434      	1.07709   	
498.302   	2163.08   	70        	5434      	1.05106   	
518.302   	2166.01   	70        	5434      	1.02558   	
538.302   	2168.96   	70        	5434      	1.00065   	
558.302   	2171.9    	70        	5434      	0.976228  	
578.302   	2174.86   	70        	5434      	0.952292  	
598.302   	2177.81   	70        	5434      	0.928802  	
618.302   	2180.77   	70        	5434      	0.905754  	
638.302   	2183.73   	70        	5434      	0.883091  	
658.302   	2186.7    	70        	5434      	0.860762  	
678.302   	2189.67   	70        	5434      	0.838769  	
698.302   	2192.65   	70        	5434      	0.817115  	
718.302   	2195.62   	70        	5434      	0.795789  	
738.302   	2198.59   	70        	5434      	0.774774  	
758.302   	2201.55   	70        	5434      	0.754057  	
778.302   	2204.52   	70        	5434      	0.733599  	
798.302   	2207.5    	70        	5434      	0.713354  	
818.302   	2210.48   	70        	5434      	0.693315  	
838.302   	2213.47   	70        	5434      	0.67349   	
858.302   	2216.47   	70        	5434      	0.653852  	
878.302   	2219.47   	70        	5434      	0.634381  	
898.302   	2222.48   	70        	5434      	0.615077  	
918.302   	2225.5    	70        	5434      	0.595959  	
938.302   	2228.5    	70        	5434      	0.577043  	
958.302   	2231.51   	70        	5434      	0.558309  	
978.302   	2234.51   	70        	5434      	0.539739  	
998.302   	2237.52   	70        	5434      	0.521292  	
1018.3    	2240.54   	70        	5434      	0.502958  	
1038.3    	2243.56   	70        	5434      	0.484734  	
1058.3    	2246.59   	70        	5434      	0.46663   	
1078.3    	2249.62   	70        	5434      	0.448644  	
1098.3    	2252.66   	70        	5434      	0.430781  	
1118.3    	2255.69   	70        	5434      	0.413043  	
1138.3    	2258.72   	70        	5434      	0.395431  	
1158.3    	2261.75   	70        	5434      	0.377938  	
1178.3    	2264.78   	70        	5434      	0.360535  	
1198.3    	2267.81   	70        	5434      	0.343204  	
1218.3    	2270.86   	70        	5434      	0.325937  	
1238.3    	2273.92   	70        	5434      	0.308732  	
1258.3    	2276.98   	70        	5434      	0.291588  	
1278.3    	2280.06   	70        	5434      	0.2745    	
1298.3    	2283.14   	70        	5434      	0.257462  	
1318.3    	2286.23   	70        	5434      	0.24049   	
1338.3    	2289.32   	70        	5434      	0.223608  	
1358.3    	2292.4    	70        	5434      	0.206828  	
1378.3    	2295.47   	70        	5434      	0.190157  	
1398.3    	2298.55   	70        	5434      	0.173555  	
1418.3    	2301.64   	70        	5434      	0.157007  	
1438.3    	2304.74   	70        	5434      	0.140506  	
1458.3    	2307.84   	70        	5434      	0.124082  	
1478.3    	2310.95   	70        	5434      	0.107755  	
1498.3    	2314.06   	70        	5434      	0.0915335 	
1518.3    	2317.17   	70        	5434      	0.0754314 	
1538.3    	2320.29   	70        	5434      	0.0594781 	
1558.3    	2323.4    	70        	5434      	0.0437234 	
1578.3    	2326.52   	70        	5434      	0.0282639 	
1598.3    	2329.63   	70        	5434      	0.0133531 	
1618.3    	2332.73   	70        	5433.98   	0.0205784 	
1638.3    	2335.84   	70        	5433.99   	0.00835973	
1658.3    	2338.97   	70        	5434      	0         	
1678.3    	2342.12   	70        	5434      	0         	
1698.3    	2345.27   	70        	5434      	0         	
1718.3    	2348.42   	70        	5434      	0         	
1738.3    	2351.58   	70        	5434      	0         	
1758.3    	2354.75   	70        	5434      	0         	
1778.3    	2357.91   	70        	5434      	0         	
1798.3    	2361.08   	70        	5434      	0         	
1818.3    	2364.26   	70        	5434      	0         	
1838.3    	2367.43   	70        	5434      	0         	
1858.3    	2370.62   	70        	5434      	0         	
1878.3    	2373.8    	70        	5434      	0         	
1898.3    	2376.98   	70        	5434      	0         	
1918.3    	2380.17   	70        	5434      	0         	
1938.3    	2383.36   	70        	5434      	0         	
1958.3    	2386.56   	70        	5434      	0         	
1978.3    	2389.76   	70        	5434      	0         	
1998.3    	2392.97   	70        	5434      	0         	
2018.3    	2396.17   	70        	5434      	0         	
2038.3    	2399.38   	70        	5434      	0         	
2058.3    	2402.59   	70        	5434      	0         	
2078.3    	2405.81   	70        	5434      	0         	
2098.3    	2409.04   	70        	5434      	0         	
2118.3    	2412.26   	70        	5434      	0         	
2138.3    	2415.5    	70        	5434      	0         	
2158.3    	2418.73   	70        	5434      	0         	
2178.3    	2421.98   	70        	5434      	0         	
2198.3    	2425.23   	70        	5434      	0         	
2218.3    	2428.49   	70        	5434      	0         	
2238.3    	2431.76   	70        	5434      	0         	
2258.3    	2435.04   	70        	5434      	0         	
2278.3    	2438.32   	70        	5434      	0         	
2298.3    	2441.6    	70        	5434      	0         	
2318.3    	2444.89   	70        	5434      	0         	
2338.3    	2448.18   	70        	5434      	0         	
2358.3    	2451.48   	70        	5434      	0         	
2378.3    	2454.78   	70        	5434      	0         	
2398.3    	2458.09   	70        	5434      	0         	
2418.3    	2461.41   	70        	5434      	0         	
2438.3    	2464.72   	70        	5434      	0         	
2458.3    	2468.04   	70        	5434      	0         	
2478.3    	2471.35   	70        	5434      	0         	
2498.3    	2474.67   	70        	5434      	0         	
2518.3    	2477.99   	70        	5434      	0         	
2538.3    	2481.32   	70        	5434      	0         	
2558.3    	2484.65   	70        	5434      	0         	
2578.3    	2487.99   	70        	5434      	0         	
2598.3    	2491.33   	70        	5434      	0         	
2618.3    	2494.68   	70        	5434      	0         	
2638.3    	2498.03   	70        	5434      	0         	
2658.3    	2501.39   	70        	5434      	0         	
2678.3    	2504.76   	70        	5434      	0         	
2698.3    	2508.13   	70        	5434      	0         	
2718.3    	2511.52   	70        	5434      	0         	
2738.3    	2514.91   	70        	5434      	0         	
2758.3    	2518.3    	70        	5434      	0         	
2778.3    	2521.69   	70        	5434      	0         	
2798.3    	2525.08   	70        	5434      	0         	
2818.3    	2528.49   	70        	5434      	0         	
2838.3    	2531.89   	70        	5434      	0         	
2858.3    	2535.31   	70        	5434      	0         	
2878.3    	2538.73   	70        	5434      	0         	
2898.3    	2542.17   	70        	5434      	0         	
2918.3    	2545.61   	70        	5434      	0         	
2938.3    	2549.06   	70        	5434      	0         	
2958.3    	2552.51   	70        	5434      	0         	
2978.3    	2555.97   	70        	5434      	0         	
2998.3    	2559.43   	70        	5434      	0         	
3018.3    	2562.89   	70        	5434      	0         	
3038.3    	2566.36   	70        	5434      	0         	
3058.3    	2569.83   	70        	5434      	0         	
3078.3    	2573.3    	70        	5434      	0         	
3098.3    	2576.77   	70        	5434      	0         	
3118.3    	2580.24   	70        	5434      	0         	
3138.3    	2583.71   	70        	5434      	0         	
3158.3    	2587.19   	70        	5434      	0         	
3178.3    	2590.67   	70        	5434      	0         	
3198.3    	2594.16   	70        	5434      	0         	
3218.3    	2597.66   	70        	5434      	0         	
3238.3    	2601.17   	70        	5434      	0         	
3258.3    	2604.69   	70        	5434      	0         	
3278.3    	2608.22   	70        	5434      	0         	
3298.3    	2611.76   	70        	5434      	0         	
3318.3    	2615.29   	70        	5434      	0         	
3338.3    	2618.84   	70        	5434      	0         	
3358.3    	2622.39   	70        	5434      	0         	
3378.3    	2625.94   	70        	5434      	0         	
3398.3    	2629.5    	70        	5434      	0         	
3418.3    	2633.06   	70        	5434      	0         	
3438.3    	2636.63   	70        	5434      	0         	
3458.3    	2640.2    	70        	5434      	0         	
3478.3    	2643.77   	70        	5434      	0         	
3498.3    	2647.35   	70        	5434      	0         	
3518.3    	2650.94   	70        	5434      	0         	
3538.3    	2654.55   	70        	5434      	0         	
3558.3    	2658.15   	70        	5434      	0         	
3578.3    	2661.77   	70        	5434      	0         	
3598.3    	2665.4    	70        	5434      	0         	
3618.3    	2669.03   	70        	5434      	0         	
3638.3    	2672.67   	70        	5434      	0         	
3658.3    	2676.31   	70        	5434      	0         	
3678.3    	2679.95   	70        	5434      	0         	
3698.3    	2683.6    	70        	5434      	0         	
3718.3    	2687.24   	70        	5434      	0         	
3738.3    	2690.89   	70        	5434      	0         	
3758.3    	2694.54   	70        	5434      	0         	
3778.3    	2698.18   	70        	5434      	0         	
3798.3    	2701.83   	70        	5434      	0         	
3818.3    	2705.48   	70        	5434      	0         	
3838.3    	2709.14   	70        	5434      	0         	
3858.3    	2712.8    	70        	5434      	0         	
3878.3    	2716.47   	70        	5434      	0         	
3898.3    	2720.15   	70        	5434      	0         	
3918.3    	2723.85   	70        	5434      	0         	
3938.3    	2727.57   	70        	5434      	0         	
3958.3    	2731.29   	70        	5434      	0         	
3978.3    	2735.02   	70        	5434      	0         	
3998.3    	2738.75   	70        	5434      	0         	
4018.3    	2742.48   	70        	5434      	0         	
4038.3    	2746.22   	70        	5434      	0         	
4058.3    	2749.97   	70        	5434      	0         	
4078.3    	2753.72   	70        	5434      	0         	
4098.3    	2757.48   	70        	5434      	0         	
4118.3    	2761.25   	70        	5434      	0         	
4138.3    	2765.02   	70        	5434      	0         	
4158.3    	2768.79   	70        	5434      	0         	
4178.3    	2772.57   	70        	5434      	0         	
4198.3    	2776.35   	70        	5434      	0         	
4218.3    	2780.14   	70        	5434      	0         	
4238.3    	2783.92   	70        	5434      	0         	
4258.3    	2787.72   	70        	5434      	0         	
4278.3    	2791.52   	70        	5434      	0         	
4298.3    	2795.33   	70        	5434      	0         	
4318.3    	2799.15   	70        	5434      	0         	
4338.3    	2802.98   	70        	5434      	0         	
4358.3    	2806.82   	70        	5434      	0         	
4378.3    	2810.66   	70        	5434      	0         	
4398.3    	2814.51   	70        	5434      	0         	
4418.3    	2818.35   	70        	5434      	0         	
4438.3    	2822.2    	70        	5434      	0         	
4458.3    	2826.05   	70        	5434      	0         	
4478.3    	2829.91   	70        	5434      	0         	
4498.3    	2833.76   	70        	5434      	0         	
4518.3    	2837.62   	70        	5434      	0         	
4538.3    	2841.48   	70        	5434      	0         	
4558.3    	2845.35   	70        	5434      	0         	
4578.3    	2849.22   	70        	5434      	0         	
4598.3    	2853.1    	70        	5434      	0         	
4618.3    	2856.99   	70        	5434      	0         	
4638.3    	2860.9    	70        	5434      	0         	
4658.3    	2864.81   	70        	5434      	0         	
4678.3    	2868.73   	70        	5434      	0         	
4698.3    	2872.65   	70        	5434      	0         	
4718.3    	2876.58   	70        	5434      	0         	
4738.3    	2880.52   	70        	5434      	0         	
4758.3    	2884.47   	70        	5434      	0         	
4778.3    	2888.42   	70        	5434      	0         	
4798.3    	2892.4    	70        	5434      	0         	
4818.3    	2896.38   	70        	5434      	0         	
4838.3    	2900.37   	70        	5434      	0         	
4858.3    	2904.36   	70        	5434      	0         	
4878.3    	2908.35   	70        	5434      	0         	
4898.3    	2912.35   	70        	5434      	0         	
4918.3    	2916.36   	70        	5434      	0         	
4938.3    	2920.37   	70        	5434      	0         	
