Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
1         	300       	70        	847.296   	321.18    	
3.3356    	300       	70        	1007.85   	247.921   	
7.62722   	300       	70        	1200.31   	157.482   	
14.6388   	300       	70        	1502.45   	69.117    	
25.3447   	300       	70        	1751.2    	0         	
42.2051   	300       	70        	1864.15   	0         	
67.0188   	300       	70        	1919.59   	0         	
97.0188   	300       	70        	1924.2    	0         	
127.019   	300       	70        	1932.9    	0         	
157.019   	300       	70        	1896.32   	0         	
187.019   	300       	70        	1840.69   	0         	
217.019   	300       	70        	1772.86   	0         	
247.019   	300       	70        	1697.54   	0         	
277.019   	300       	70        	1616.26   	0         	
307.019   	300       	70        	1462.94   	0         	
337.019   	300       	70        	1279.4    	0         	
367.019   	300       	70        	1168.14   	0         	
397.019   	300       	70        	1070.89   	0         	
427.019   	300       	70        	996.053   	0         	
457.019   	300       	70        	940.869   	0         	
487.019   	300       	70        	892.799   	0         	
517.019   	300       	70        	846.672   	3.9377    	
547.019   	300       	70        	805.248   	7.53323   	
577.019   	300       	70        	768.08    	10.4734   	
607.019   	300       	70        	734.506   	12.8817   	
637.019   	300       	70        	704.007   	14.8499   	
667.019   	300       	70        	676.163   	16.4491   	
697.019   	300       	70        	650.633   	17.7359   	
727.019   	300       	70        	627.129   	18.7569   	
757.019   	300       	70        	605.406   	19.5509   	
787.019   	300       	70        	585.256   	20.1504   	
817.019   	300       	70        	566.5     	20.5835   	
847.019   	300       	70        	548.981   	20.8742   	
877.019   	300       	70        	532.563   	21.0433   	
907.019   	300       	70        	517.129   	21.1091   	
937.019   	300       	70        	502.574   	21.0875   	
967.019   	300       	70        	488.805   	20.9924   	
997.019   	300       	70        	475.742   	20.836    	
1000      	300       	70        	474.456   	20.8194   	
