Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	400       	70        	302.929   	14.7189   	3.7223e-005	
2.31897   	400       	70        	309.226   	10.3337   	9.14258e-005	
4.49891   	400       	70        	318.181   	5.77621   	0.000152932	
8.46293   	400       	70        	321.29    	0.181204  	0.000237315	
15.2119   	400       	70        	301.654   	0         	0.000321456	
24.34     	400       	70        	261.925   	0         	0.000353658	
36.6033   	400       	70        	208.306   	0         	0.000320712	
50.8728   	400       	70        	157.783   	0         	0.000251266	
69.4995   	400       	70        	113.544   	0         	0.000170345	
88.721    	400       	70        	82.505    	0         	0.000111346	
108.721   	400       	70        	62.4259   	0         	7.29227e-005	
128.4     	400       	70        	52.4519   	0         	5.16854e-005	
148.4     	400       	70        	46.8441   	0         	3.84142e-005	
168.4     	400       	70        	43.6044   	0         	2.96053e-005	
188.4     	400       	70        	41.7673   	0         	2.34031e-005	
208.4     	400       	70        	40.8268   	0         	1.88289e-005	
228.4     	400       	70        	40.2686   	0         	1.52767e-005	
248.4     	400       	70        	39.7188   	0         	1.24206e-005	
268.4     	400       	70        	38.2498   	0         	1.00018e-005	
288.4     	400       	70        	38.6039   	0         	8.2407e-006	
308.4     	400       	70        	38.9661   	0         	6.79212e-006	
328.4     	400       	70        	39.0077   	0         	5.59759e-006	
348.4     	400       	70        	38.9397   	0         	4.6271e-006	
368.4     	400       	70        	38.7807   	0         	3.84605e-006	
388.4     	400       	70        	38.584    	0         	3.22193e-006	
408.4     	400       	70        	38.3956   	0         	2.7232e-006	
428.4     	400       	70        	38.1691   	0         	2.32768e-006	
448.4     	400       	70        	36.6747   	0         	2.24465e-006	
468.4     	400       	70        	32.9446   	0         	0         	
488.4     	400       	70        	30.3823   	3.8905    	0         	
508.4     	400       	70        	28.9353   	12.7595   	0         	
528.4     	400       	70        	28.8739   	22.6718   	0         	
548.4     	400       	70        	29.5366   	31.4938   	0         	
568.4     	400       	70        	30.3754   	39.7399   	0         	
588.4     	400       	70        	30.5798   	47.495    	0         	
608.4     	400       	70        	30.7276   	55.2903   	0         	
628.4     	400       	70        	30.612    	62.4403   	0         	
648.4     	400       	70        	30.3652   	68.9812   	0         	
668.4     	400       	70        	30.0374   	74.9588   	0         	
688.4     	400       	70        	30.1162   	81.1511   	0         	
708.4     	400       	70        	30.1251   	86.4015   	0         	
728.4     	400       	70        	30.0423   	91.2135   	0         	
748.4     	400       	70        	29.9238   	95.2826   	0         	
768.4     	400       	70        	29.797    	98.5192   	0         	
788.4     	400       	70        	29.6626   	100.661   	0         	
808.4     	400       	70        	29.4504   	103.225   	0         	
828.4     	400       	70        	29.1803   	106.241   	0         	
848.4     	400       	70        	29.1122   	109.708   	0         	
868.4     	400       	70        	29.0054   	112.308   	0         	
888.4     	400       	70        	28.8882   	114.896   	0         	
908.4     	400       	70        	28.731    	116.942   	0         	
928.4     	400       	70        	28.4644   	117.603   	0         	
948.4     	400       	70        	25.9416   	108.387   	0.243723  	
968.4     	400       	70        	22.4934   	95.7261   	1.54073   	
988.4     	400       	70        	19.624    	85.5934   	3.67471   	
1008.4    	400       	70        	17.7826   	78.5011   	6.09711   	
1028.4    	400       	70        	16.6799   	73.814    	8.74486   	
1048.4    	400       	70        	16.6546   	73.8508   	12.6577   	
1068.4    	400       	70        	16.1351   	71.6815   	15.88     	
1088.4    	400       	70        	15.2873   	68.0247   	17.8662   	
1108.4    	400       	70        	14.5838   	64.9769   	19.3751   	
1128.4    	400       	70        	14.0062   	62.469    	20.6035   	
1148.4    	400       	70        	13.4969   	60.2447   	21.749    	
1168.4    	400       	70        	13.0853   	58.4388   	23.063    	
1188.4    	400       	70        	12.6913   	56.6988   	24.3098   	
1208.4    	400       	70        	12.3412   	55.1538   	25.4203   	
1228.4    	400       	70        	12.0005   	53.648    	26.5      	
1248.4    	400       	70        	11.655    	52.1176   	27.5964   	
1268.4    	400       	70        	11.3058   	50.5672   	28.7087   	
1288.4    	400       	70        	10.9466   	48.9701   	29.8523   	
1308.4    	400       	70        	10.6024   	47.4396   	31.0647   	
1328.4    	400       	70        	10.283    	46.0211   	32.3539   	
1348.4    	400       	70        	9.94944   	44.5398   	33.6862   	
1368.4    	400       	70        	9.60609   	43.0153   	35.0542   	
1388.4    	400       	70        	9.2543    	41.4534   	36.4536   	
1408.4    	400       	70        	8.88656   	39.8199   	37.913    	
1428.4    	400       	70        	8.50889   	38.1405   	39.411    	
1448.4    	400       	70        	8.22299   	36.8702   	40.5415   	
1468.4    	400       	70        	7.96688   	35.7313   	41.6681   	
1488.4    	400       	70        	7.70994   	34.5866   	42.879    	
1508.4    	400       	70        	7.43931   	33.3787   	44.155    	
1528.4    	400       	70        	7.16804   	32.1659   	45.438    	
1548.4    	400       	70        	6.9139    	31.0283   	46.6401   	
1568.4    	400       	70        	6.67702   	29.9666   	47.7631   	
1588.4    	400       	70        	6.45648   	28.9769   	48.8075   	
1608.4    	400       	70        	6.25139   	28.0555   	49.7779   	
1628.4    	400       	70        	6.07597   	27.2662   	50.6114   	
1648.4    	400       	70        	5.92147   	26.5702   	51.3431   	
1668.4    	400       	70        	5.80007   	26.022    	52.0988   	
1688.4    	400       	70        	5.68416   	25.4979   	52.8297   	
1708.4    	400       	70        	5.57185   	24.9897   	53.537    	
1728.4    	400       	70        	5.46219   	24.4931   	54.2264   	
1748.4    	400       	70        	5.35432   	24.0043   	54.904    	
1768.4    	400       	70        	5.24718   	23.5188   	55.5765   	
1788.4    	400       	70        	5.14818   	23.0698   	56.2002   	
1808.4    	400       	70        	5.05344   	22.6399   	56.7972   	
1828.4    	400       	70        	4.95834   	22.2084   	57.3955   	
1848.4    	400       	70        	4.86114   	21.7678   	58.0064   	
1868.4    	400       	70        	4.7623    	21.32     	58.6281   	
1888.4    	400       	70        	4.66174   	20.8646   	59.2605   	
1908.4    	400       	70        	4.55967   	20.4028   	59.9025   	
1928.4    	400       	70        	4.45618   	19.9348   	60.553    	
1948.4    	400       	70        	4.35927   	19.4965   	61.1638   	
1968.4    	400       	70        	4.26907   	19.0885   	61.7332   	
1988.4    	400       	70        	4.18278   	18.6983   	62.3218   	
2000      	400       	70        	4.1341    	18.4781   	62.6794   	
