Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	1000      	70        	56675.2   	2444.24   	
0.6       	1000      	70        	42539.6   	1910.4    	
1.1       	1000      	70        	42227.4   	1897.11   	
1.6       	1000      	70        	41750.2   	1859.74   	
2.1       	1000      	70        	41338.7   	1819.66   	
2.9712    	1000      	70        	40805.8   	1756.71   	
3.61472   	1000      	70        	40497.4   	1714.78   	
4.11472   	1000      	70        	40295.8   	1684.78   	
4.61472   	1000      	70        	40122.4   	1657.01   	
5.11472   	1000      	70        	39971     	1631.17   	
5.61472   	1000      	70        	39836.6   	1606.96   	
6.11472   	1000      	70        	39715.9   	1584.18   	
6.61472   	1000      	70        	39606.5   	1562.66   	
7.11472   	1000      	70        	39506.2   	1542.25   	
7.61472   	1000      	70        	39413.8   	1522.85   	
8.11472   	1000      	70        	39328.3   	1504.38   	
8.61472   	1000      	70        	39248.6   	1486.76   	
9.11472   	1000      	70        	39174.2   	1469.92   	
9.61472   	1000      	70        	39104.2   	1453.8    	
10.1147   	1000      	70        	39038.3   	1438.33   	
10.6147   	1000      	70        	38976     	1423.48   	
11.1147   	1000      	70        	38917.5   	1409.22   	
11.6147   	1000      	70        	38862.1   	1395.5    	
12.1147   	1000      	70        	38809.7   	1382.27   	
12.6147   	1000      	70        	38759.9   	1369.51   	
13.1147   	1000      	70        	38762.3   	1358.38   	
14.2544   	1000      	70        	38835     	1336.37   	
16.5559   	1000      	70        	38935.6   	1296.45   	
21.012    	1000      	70        	39012.3   	1231.65   	
29.4897   	1000      	70        	38782.9   	1140.26   	
44.2559   	1000      	70        	37662.2   	1045.01   	
64.2559   	1000      	70        	35814.1   	968.101   	
84.2559   	1000      	70        	34074.4   	907.715   	
104.256   	1000      	70        	32581.2   	852.829   	
124.256   	1000      	70        	31385.7   	796.128   	
144.256   	1000      	70        	30514.6   	734.421   	
164.256   	1000      	70        	29791.6   	673.053   	
184.256   	1000      	70        	29144.8   	614.676   	
204.256   	1000      	70        	28526.7   	560.619   	
224.256   	1000      	70        	27889.2   	512.006   	
244.256   	1000      	70        	27217.5   	468.502   	
264.256   	1000      	70        	26552.1   	427.633   	
284.256   	1000      	70        	25865.2   	390.291   	
