Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	1000      	70        	28876     	480.186   	
0.6       	1000      	70        	29211.7   	436.045   	
1.83367   	1000      	70        	29984.4   	356.045   	
4.54536   	1000      	70        	31288.8   	245.354   	
9.56325   	1000      	70        	32705.6   	133.503   	
16.5512   	1000      	70        	34230.8   	66.4803   	
25.5212   	1000      	70        	35000.3   	28.6366   	
36.5252   	1000      	70        	34902.7   	11.874    	
50.1036   	1000      	70        	35090.4   	6.27302   	
65.3582   	1000      	70        	34467.4   	3.72331   	
85.3582   	1000      	70        	32667.4   	2.59535   	
104.96    	1000      	70        	27506.7   	12.3294   	
124.96    	1000      	70        	23853     	41.0408   	
144.96    	1000      	70        	21324.2   	63.9901   	
164.96    	1000      	70        	19697.7   	79.339    	
184.96    	1000      	70        	18449.7   	85.0593   	
204.96    	1000      	70        	17420.8   	85.6089   	
224.96    	1000      	70        	16526.9   	83.482    	
244.96    	1000      	70        	15725.8   	79.8777   	
264.96    	1000      	70        	14990.6   	75.5783   	
284.96    	1000      	70        	14304.9   	71.0436   	
304.96    	1000      	70        	13659     	66.5276   	
324.96    	1000      	70        	13047.1   	62.1639   	
344.96    	1000      	70        	12465.3   	58.0175   	
364.96    	1000      	70        	11912.1   	54.0824   	
384.96    	1000      	70        	11394.1   	50.0666   	
404.96    	1000      	70        	10896.9   	46.389    	
424.96    	1000      	70        	10419.7   	43.0374   	
444.96    	1000      	70        	9962.47   	39.9701   	
464.96    	1000      	70        	9524.93   	37.1529   	
484.96    	1000      	70        	9106.6    	34.5571   	
504.96    	1000      	70        	8706.92   	32.159    	
524.96    	1000      	70        	8325.33   	29.94     	
544.96    	1000      	70        	7978.78   	27.2812   	
564.96    	1000      	70        	7656.21   	24.4713   	
584.96    	1000      	70        	7358.97   	22.1755   	
604.96    	1000      	70        	7072.23   	20.0387   	
624.96    	1000      	70        	6794.41   	18.079    	
644.96    	1000      	70        	6525.02   	16.295    	
664.96    	1000      	70        	6263.95   	14.6757   	
684.96    	1000      	70        	6011.24   	13.2076   	
704.96    	1000      	70        	5766.92   	11.8771   	
724.96    	1000      	70        	5530.99   	10.6714   	
744.96    	1000      	70        	5303.39   	9.57867   	
764.96    	1000      	70        	5084.05   	8.58838   	
784.96    	1000      	70        	4872.82   	7.69102   	
804.96    	1000      	70        	4669.57   	6.87803   	
824.96    	1000      	70        	4474.1    	6.14171   	
844.96    	1000      	70        	4286.23   	5.47509   	
864.96    	1000      	70        	4105.75   	4.87176   	
884.96    	1000      	70        	3932.44   	4.32605   	
904.96    	1000      	70        	3766.07   	3.83279   	
924.96    	1000      	70        	3606.41   	3.3873    	
944.96    	1000      	70        	3453.25   	2.98531   	
964.96    	1000      	70        	3306.36   	2.62295   	
984.96    	1000      	70        	3165.52   	2.2966    	
1004.96   	1000      	70        	3030.5    	2.00296   	
1024.96   	1000      	70        	2912.69   	1.62932   	
1044.96   	1000      	70        	2803.69   	1.251     	
1064.96   	1000      	70        	2698.93   	0.916239  	
1084.96   	1000      	70        	2606.67   	0.682934  	
1104.96   	1000      	70        	2528.46   	0.548799  	
1124.96   	1000      	70        	2446.94   	0.435415  	
1144.96   	1000      	70        	2363.84   	0.339024  	
1164.96   	1000      	70        	2279.81   	0.257411  	
1184.96   	1000      	70        	2195.01   	0.189386  	
1204.96   	1000      	70        	2109.39   	0.134235  	
1224.96   	1000      	70        	2022.85   	0.0912594 	
1244.96   	1000      	70        	1935.51   	0.0594005 	
1264.96   	1000      	70        	1847.78   	0.0370623 	
1284.96   	1000      	70        	1760.41   	0.0222479 	
1304.96   	1000      	70        	1674.31   	0.0129084 	
1324.96   	1000      	70        	1590.36   	0.00726737	
1344.96   	1000      	70        	1509.24   	0.00397618	
1364.96   	1000      	70        	1431.38   	0.00210756	
1384.96   	1000      	70        	1357.02   	0.00106891	
1404.96   	1000      	70        	1286.23   	0.00050117	
1424.96   	1000      	70        	1218.99   	0.000195127	
1444.96   	1000      	70        	1155.21   	3.23419e-005	
1464.96   	1000      	70        	1094.79   	0         	
1484.96   	1000      	70        	1037.61   	0         	
1504.96   	1000      	70        	984.065   	0         	
1524.96   	1000      	70        	933.394   	0         	
1544.96   	1000      	70        	885.401   	0         	
1564.96   	1000      	70        	839.951   	0         	
1584.96   	1000      	70        	796.918   	0         	
1604.96   	1000      	70        	756.178   	0         	
1624.96   	1000      	70        	717.616   	0         	
1644.96   	1000      	70        	681.117   	0         	
1664.96   	1000      	70        	646.568   	0         	
1684.96   	1000      	70        	613.853   	0         	
1704.96   	1000      	70        	582.857   	0         	
1724.96   	1000      	70        	553.471   	0         	
1744.96   	1000      	70        	525.587   	0         	
1764.96   	1000      	70        	499.11    	0         	
1784.96   	1000      	70        	473.962   	0         	
1804.96   	1000      	70        	450.07    	0         	
1824.96   	1000      	70        	427.371   	0         	
1844.96   	1000      	70        	405.804   	0         	
1864.96   	1000      	70        	385.315   	0         	
1884.96   	1000      	70        	365.852   	0         	
1904.96   	1000      	70        	347.886   	0         	
1924.96   	1000      	70        	330.985   	0         	
1944.96   	1000      	70        	314.923   	0         	
1964.96   	1000      	70        	299.644   	0         	
1984.96   	1000      	70        	285.107   	0         	
2000      	1000      	70        	274.58    	0         	
